"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"l-leucine",12.9255566766054,13.2384725326056,13.0188912706074,12.7710733822262,13.0817566265113,13.2862319440076,11.3701527696296,10.4750801738294,11.3484939954496,11.2865659204931,10.5387344771133,11.7861841152067,11.2072741777797,11.6771498715838,10.9688256731162,11.0876485921904,11.1943609526528,11.3876768245929
"2-aminoisobutyric acid",20.8769246905483,21.0296414188587,20.6210018920238,21.2724315939616,NA,20.572023123467,20.3110671066916,NA,21.3906621946981,20.3386134880261,20.9249959915539,21.2740805976528,21.3790332528643,21.21027386367,21.1071432159743,21.0826339161114,21.172699483281,21.1581568348076
"uridine 5'-triphosphate",13.238076865895,13.2744308709343,13.2791474708264,13.4357523359706,13.7207174051902,13.5612485474038,13.4258643670011,13.4589681655178,13.1513722348342,13.4977912706735,13.1569885264092,13.7431814860688,13.1021160777918,13.3256588847301,13.1198711967967,13.6186682948508,13.502935580418,13.5726026589231
"l-methionine",11.2216276822953,11.5724148960932,11.2528903813267,11.2438583287492,11.5470225208732,11.4631591494618,9.9234061122364,9.84543606930411,10.0028833324898,10.1937040144685,9.10510238190153,10.2024772138869,10.8617708248628,11.1077362385891,10.8032836029425,10.6493572174292,10.4671236787559,10.9138511659215
"l-phenylalanine",13.3135402341242,13.6017522544385,13.4147210120868,13.2686058454529,13.4461793041809,13.7364997031521,12.2257213838383,11.5397993675212,12.1355851522446,11.9349599781814,11.6547599455192,12.3951346935576,12.8731002562027,13.1389510870259,12.8091473885711,12.9398617583761,12.8856197765523,12.8426488456988
"cytidine",13.9331561023261,13.1697790874389,13.5158319831962,13.591617068826,13.6222538112277,14.1011335810103,13.7632005940262,14.0909783549968,14.2847267005657,13.8915362113854,14.2096451473981,14.6205075309556,15.5660936626713,15.6025567453083,15.2887507217036,15.704586234853,15.2654378436303,15.3342340202936
"l-ornithine",20.4373001872623,21.6353867462017,21.71724864018,20.7347466384529,21.1031789566536,21.7819648466531,20.4551435943827,21.8058670893514,20.4917410741308,NA,21.9844285013958,22.1399241720555,21.0246546909095,21.7888432681838,21.8491402446441,21.3988695601286,21.0928768818787,NA
"l-histidine",19.4410246689763,19.5761379439213,NA,19.2572498734098,20.0520106640311,19.9737495339251,19.2300003210492,19.4343987450803,19.6978313036216,18.8501022338691,19.2532190186515,19.6898953963966,19.9635954373765,20.238689631895,19.7880574820198,20.219134893653,20.0551860019939,19.7358104817298
"l-valine",9.6213950350207,9.98002847155871,9.80535556648474,9.72996395080374,9.79015661255711,9.91165504102371,8.25687925586088,6.55833771619453,8.20166555159795,7.16955938320715,6.77021241315986,8.28346929463438,5.30226796562424,9.0996251957113,1.63112968708199,8.10884840737085,8.2849509449541,7.69992236858636
"l-threonine",14.6198067364856,14.7909819902658,14.7863289895294,14.5972052620472,14.5249437973877,14.8905346467888,13.9982499486217,13.5283236078703,13.9637354199019,13.5925940190505,13.8230232591907,14.045277419349,13.833269578306,14.0941429461823,11.4777155236938,14.2422715496769,13.8303942732056,13.7742008724312
"l-tryptophan",17.0773354079404,17.6397001879044,17.3404827138589,16.9661926301637,16.9377718260734,17.9244709397728,16.3051073367269,10.3429837317779,15.865789930891,14.5495239036011,15.4538331892103,16.5595032449396,16.8584576965635,17.2236824833245,16.3897269107765,17.0460634435109,16.7411301676996,16.3197958529516
"l-isoleucine",12.880260047153,13.5389218971072,12.9427962296475,12.9953079927571,12.7756779136312,13.6220901027746,9.61284273951918,NA,10.8473957280429,10.1373784813455,NA,11.1788318977032,10.9781602148198,12.1459360269578,8.9517886465934,10.4406445079709,11.4474643134772,7.07187283295407
"l-arginine",20.1082546995934,20.3180814059972,20.9272843155051,20.9707931362372,20.3660506736742,18.9481749217926,20.1335997228534,21.1508558814788,20.4090611682957,20.6697195148824,21.4236889506113,19.3390772449359,NA,20.9243435770276,20.4195086304793,20.5824824534334,19.7163673714718,21.3404663983313
"pantothenic acid",17.9711687533558,18.0249607551645,17.9742497339249,17.9537214248429,18.08067951719,18.1275098965363,17.5267824854179,17.4781494028084,17.5432603696282,17.5884989500185,17.3334888912934,17.657466723682,17.4835405349871,17.6070398012365,17.5797047726705,17.5416657465744,17.5031631917259,17.5312884774086
"4-pyridoxic acid",27.7652497284157,27.7530815972474,NA,28.0187385259529,28.2831443466175,27.890230688799,27.8916144090608,28.785695544348,28.3683729634905,27.8937650397351,28.1314951211279,28.2442165902677,28.1697382706607,28.096702376388,28.0002600315309,28.1020310098049,28.305045554419,NA
"shikimic acid",NA,9.77567250656635,NA,8.56347763991835,NA,10.1049227535618,9.89631548128549,4.77266703769905,NA,7.26525682079938,9.05009692259101,NA,8.90756517552324,8.93103426981374,NA,9.77393269332939,7.73380369724951,8.45202543459612
"indole-3-carboxaldehyde",24.9934945989921,25.475612780208,25.2449798204628,25.380361642944,25.4501969992546,25.2728348608764,25.7842385009114,NA,26.0860139651997,25.6536701760148,25.6303502730501,25.6699952210894,25.7000240415497,25.7316952834295,25.4042820587622,NA,25.6951372091978,25.5277169178119
"l-carnitine",12.6788291133365,12.7990625484063,12.947940667975,12.6062777159462,12.6591325436306,12.4198076540157,12.4390519107786,11.920391749964,11.7796572785302,11.5683812780008,11.9254885802689,11.3299807251708,10.7029221248907,10.6923885544532,10.5921189529053,10.8273084832924,10.6833789185691,10.4961982775333
"tetradecanoic acid",18.1908934110634,17.3147877522983,16.6134844289914,16.764772737606,16.7830538211018,16.8656141467078,17.1092499352843,17.3582861485051,16.490512776282,15.9833158906374,16.5875976225904,15.8117721127407,16.4996281559043,15.3467204208515,14.680358154777,15.177523247434,15.4418983845188,15.0719727504972
"3-hydroxyphenylacetic acid",16.3612512639883,17.052764162322,16.435856156589,16.4555038746059,16.8550965772983,16.844629881678,15.5424331120676,14.9809989076675,15.7722929529247,15.1633649829395,15.0283442794557,15.6843911527703,16.5747839165219,16.7565975179677,16.4954295289651,16.3743004843995,16.2860996644339,16.1830749967457
"glycochenodeoxycholic acid",NA,7.40405819603311,7.83666907603159,NA,9.28071703685775,9.13884706194781,NA,NA,NA,NA,NA,NA,9.76863430992898,11.0971958949952,10.0575926514143,10.4062887154497,10.8172757010466,10.5339980407941
"2'-deoxyuridine",NA,NA,NA,NA,7.62821266179625,2.58315764106395,6.31829487369509,NA,NA,NA,NA,NA,7.68629422595194,6.07445631898856,8.64121665379274,NA,NA,NA
"9,10-epoxystearic acid",12.6684340928821,NA,12.1260628467397,12.4147271922567,12.7433310169803,12.2328869209584,11.9982975766489,12.8298704170903,13.1568081937902,12.7851576392425,12.0208724305128,12.4273907507068,12.7396464058948,13.0672243012349,13.5584077607652,12.962583998195,13.0135984639022,13.0971434797578
