"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"A0A087WQH8",28.8766613,28.65198326,28.51600456,28.72348022,28.75350189,28.8677063,28.60020447,28.62857056,28.93027115,28.57159615,29.15139008,28.5994606,29.14938164,29.00603104,29.09981537,28.918293,28.74887276,28.76840782
"A0A087WQS0",27.19093513,27.1009922,27.28603745,27.06219101,27.29754066,27.24354362,27.2660656,27.22609711,27.29955101,27.09697723,27.32070541,27.07224464,27.16240501,26.94335556,26.91422081,26.02896881,27.11227417,27.03915215
"A0A087WQS2",28.56579971,28.50525284,28.51020622,28.38438606,28.31371689,28.35022163,28.71581078,28.7130928,28.71384621,28.85973167,28.87208748,28.7634449,28.52335358,28.44367599,28.42145729,28.42137718,28.32996941,28.31997299
"Q4FK85",24.62026215,24.27125359,24.18481255,25.44247818,25.10002136,25.74201202,25.85407639,26.2122097,24.68215179,25.73874283,24.94693375,25.67238808,24.66373444,25.14360237,24.48674202,24.93629265,25.27644539,24.69656944
"A0A087WR50",28.31803513,28.23379707,28.41219711,28.29289818,28.33705139,28.25115013,28.38446808,28.4539547,28.45998383,28.32440186,28.28396606,28.80298042,29.16569138,29.24356651,29.54730797,29.27371025,29.53270721,29.58686638
"A0A087WRE7",29.01180077,28.98000145,29.11185074,28.8880024,28.82662964,28.90219307,28.82726479,28.9006958,28.87824059,28.73152924,28.88896179,28.61484337,29.25491524,29.23815346,29.11830139,29.16343689,29.06345177,28.93199158
"Q8C3V4",28.27124023,28.08618355,28.3425293,27.90873337,27.89608192,28.39815521,28.67161942,28.52950859,28.52383804,29.03645515,28.4742527,28.95889473,28.38422203,28.62030792,28.41763878,28.7306881,28.6934185,28.79442215
"A0A1S6GWJ2",28.94086456,28.97300911,28.92277908,29.01563263,28.93893242,28.8787384,28.74884033,28.71050072,28.79730225,28.57643509,28.74772072,28.52290344,29.32102776,29.24972725,29.25945854,29.09141541,29.24526787,29.07224464
"S4R2J9",25.59755898,26.20465469,26.24263573,25.69869423,25.89899063,26.23591614,26.62631035,26.47779846,26.63062096,26.94603539,26.52899551,26.93910027,25.72517776,24.08428383,25.74811745,25.54913139,25.53267097,25.87602806
"Q545H7",29.21745682,28.93252563,29.30192947,29.14748955,29.21456337,29.04220772,29.02414131,29.0506916,29.14340782,29.24277115,28.80568886,28.87774467,29.12460136,28.9978199,29.01009369,28.94840431,29.08813286,28.88640404
"A0A0A0MQ99",24.55522537,25.85446167,24.88705254,25.44530296,24.94068909,26.3249855,26.36758041,24.22971916,26.02844238,26.26067352,23.68744278,26.6092186,26.42484856,26.57009125,26.74111176,26.47543526,26.7471447,25.60998344
"A0A0A0MQK7",24.86688805,24.98333168,24.84809303,25.52353477,25.78009796,25.19726944,24.27211761,24.69694519,24.41919136,24.3794632,25.89661407,24.9219265,24.89476585,24.86693382,25.00075531,25.29011536,24.93932533,24.41375732
"A0A0A6YVR9",27.79538345,27.92297745,24.31354523,27.62380028,27.83773804,23.85611916,27.32585907,27.53860283,27.78705978,24.96059608,25.47453308,27.4761467,23.87139702,27.6895256,25.36954308,23.99367714,27.70404816,26.16555214
"A0A0A6YVS2",25.5715847,25.06139183,26.98207092,24.43590927,24.89390945,27.33781624,26.83364296,27.22646523,27.1077919,27.29544067,25.02892876,27.12060165,26.93786621,26.71855736,26.82941437,24.54240036,26.70754051,24.87495232
"A0A0A6YXR6",24.18772125,24.97306061,23.87130165,25.03836823,24.45117188,24.03304672,24.09768486,25.44871902,24.60388184,24.40141296,25.11185646,23.44493294,26.0606041,26.02151108,26.03569603,24.6719017,24.60500336,24.79273033
"A0A0A6YVU8",26.53546143,26.5889225,26.73078537,26.38088226,26.14883804,26.66844368,27.09838486,26.93145561,26.82808304,26.85804176,27.18735313,27.07734871,26.90081024,26.80439758,26.9413414,26.90747452,26.63961792,26.85982132
"Q921M8",26.21900368,24.13671303,25.99219894,24.83116531,24.36127853,26.16209793,26.50014877,26.48862648,26.27946472,26.49176407,25.67117119,26.20262146,26.65662766,26.54427528,26.68043137,26.50397301,26.59548187,26.57614517
